t,x,y,crs,NO2
2023-10-19,113.77659013525215,-7.020542032458331,b'',5.481532e-06
2023-10-19,113.77659013525215,-7.055264254680547,b'',1.7390392e-05
2023-10-20,113.77659013525215,-7.020542032458331,b'',7.6188217e-06
2023-10-20,113.77659013525215,-7.055264254680547,b'',1.7632965e-05
2023-10-21,113.77659013525215,-7.020542032458331,b'',1.1806873e-05
2023-10-21,113.77659013525215,-7.055264254680547,b'',1.1806873e-05
2023-10-22,113.77659013525215,-7.020542032458331,b'',2.2665214e-05
2023-10-22,113.77659013525215,-7.055264254680547,b'',2.5908314e-05
2023-10-23,113.77659013525215,-7.020542032458331,b'',1.7135091e-05
2023-10-23,113.77659013525215,-7.055264254680547,b'',1.2695897e-05
2023-10-24,113.77659013525215,-7.020542032458331,b'',2.5954665e-05
2023-10-24,113.77659013525215,-7.055264254680547,b'',1.5525098e-05
2023-10-25,113.77659013525215,-7.020542032458331,b'',1.9399466e-05
2023-10-25,113.77659013525215,-7.055264254680547,b'',1.9399466e-05
2023-10-26,113.77659013525215,-7.020542032458331,b'',5.73534e-06
2023-10-26,113.77659013525215,-7.055264254680547,b'',1.7337003e-05
2023-10-27,113.77659013525215,-7.020542032458331,b'',1.3861265e-05
2023-10-27,113.77659013525215,-7.055264254680547,b'',1.3861265e-05
2023-10-28,113.77659013525215,-7.020542032458331,b'',2.0164247e-05
2023-10-28,113.77659013525215,-7.055264254680547,b'',1.7976197e-05
2023-10-29,113.77659013525215,-7.020542032458331,b'',2.0507692e-05
2023-10-29,113.77659013525215,-7.055264254680547,b'',2.5218522e-05
2023-10-30,113.77659013525215,-7.020542032458331,b'',1.9328925e-05
2023-10-30,113.77659013525215,-7.055264254680547,b'',1.8327588e-05
2023-10-31,113.77659013525215,-7.020542032458331,b'',5.2535365e-06
2023-10-31,113.77659013525215,-7.055264254680547,b'',1.4576733e-05
2023-11-01,113.77659013525215,-7.020542032458331,b'',2.6629845e-05
2023-11-01,113.77659013525215,-7.055264254680547,b'',1.1487158e-05
2023-11-02,113.77659013525215,-7.020542032458331,b'',1.8504496e-05
2023-11-02,113.77659013525215,-7.055264254680547,b'',1.8504496e-05
2023-11-03,113.77659013525215,-7.020542032458331,b'',1.0096645e-05
2023-11-03,113.77659013525215,-7.055264254680547,b'',1.0096645e-05
2023-11-04,113.77659013525215,-7.020542032458331,b'',8.041047e-06
2023-11-04,113.77659013525215,-7.055264254680547,b'',1.9698298e-06
2023-11-05,113.77659013525215,-7.020542032458331,b'',7.381482e-07
2023-11-05,113.77659013525215,-7.055264254680547,b'',-1.476516e-06
2023-11-06,113.77659013525215,-7.020542032458331,b'',1.6898397e-05
2023-11-06,113.77659013525215,-7.055264254680547,b'',7.871602e-06
2023-11-07,113.77659013525215,-7.020542032458331,b'',
2023-11-07,113.77659013525215,-7.055264254680547,b'',
2023-11-08,113.77659013525215,-7.020542032458331,b'',1.7694709e-05
2023-11-08,113.77659013525215,-7.055264254680547,b'',2.305258e-05
2023-11-09,113.77659013525215,-7.020542032458331,b'',
2023-11-09,113.77659013525215,-7.055264254680547,b'',4.0356037e-05
2023-11-10,113.77659013525215,-7.020542032458331,b'',
2023-11-10,113.77659013525215,-7.055264254680547,b'',
2023-11-12,113.77659013525215,-7.020542032458331,b'',1.7947747e-05
