t,x,y,crs,NO2
2022-10-19,113.77659013525215,-7.020542032458331,b'',
2022-10-19,113.77659013525215,-7.055264254680547,b'',
2022-10-20,113.77659013525215,-7.020542032458331,b'',
2022-10-20,113.77659013525215,-7.055264254680547,b'',
2022-10-21,113.77659013525215,-7.020542032458331,b'',1.9248976e-06
2022-10-21,113.77659013525215,-7.055264254680547,b'',2.758591e-05
2022-10-22,113.77659013525215,-7.020542032458331,b'',
2022-10-22,113.77659013525215,-7.055264254680547,b'',
2022-10-23,113.77659013525215,-7.020542032458331,b'',
2022-10-23,113.77659013525215,-7.055264254680547,b'',1.9745694e-05
2022-10-24,113.77659013525215,-7.020542032458331,b'',
2022-10-24,113.77659013525215,-7.055264254680547,b'',
2022-10-25,113.77659013525215,-7.020542032458331,b'',
2022-10-25,113.77659013525215,-7.055264254680547,b'',
2022-10-26,113.77659013525215,-7.020542032458331,b'',
2022-10-26,113.77659013525215,-7.055264254680547,b'',
2022-10-27,113.77659013525215,-7.020542032458331,b'',
2022-10-27,113.77659013525215,-7.055264254680547,b'',
2022-10-28,113.77659013525215,-7.020542032458331,b'',
2022-10-28,113.77659013525215,-7.055264254680547,b'',7.977201e-06
2022-10-29,113.77659013525215,-7.020542032458331,b'',
2022-10-29,113.77659013525215,-7.055264254680547,b'',
2022-10-30,113.77659013525215,-7.020542032458331,b'',
2022-10-30,113.77659013525215,-7.055264254680547,b'',
2022-10-31,113.77659013525215,-7.020542032458331,b'',
2022-10-31,113.77659013525215,-7.055264254680547,b'',
2022-11-01,113.77659013525215,-7.020542032458331,b'',
2022-11-01,113.77659013525215,-7.055264254680547,b'',1.1878275e-05
2022-11-02,113.77659013525215,-7.020542032458331,b'',
2022-11-02,113.77659013525215,-7.055264254680547,b'',1.4147453e-05
2022-11-03,113.77659013525215,-7.020542032458331,b'',
2022-11-03,113.77659013525215,-7.055264254680547,b'',
2022-11-04,113.77659013525215,-7.020542032458331,b'',
2022-11-04,113.77659013525215,-7.055264254680547,b'',
2022-11-05,113.77659013525215,-7.020542032458331,b'',
2022-11-05,113.77659013525215,-7.055264254680547,b'',-2.8629174e-06
2022-11-06,113.77659013525215,-7.020542032458331,b'',
2022-11-06,113.77659013525215,-7.055264254680547,b'',
2022-11-07,113.77659013525215,-7.020542032458331,b'',
2022-11-07,113.77659013525215,-7.055264254680547,b'',
2022-11-08,113.77659013525215,-7.020542032458331,b'',2.6201071e-06
2022-11-08,113.77659013525215,-7.055264254680547,b'',2.3341747e-06
2022-11-09,113.77659013525215,-7.020542032458331,b'',
2022-11-09,113.77659013525215,-7.055264254680547,b'',
2022-11-10,113.77659013525215,-7.020542032458331,b'',
2022-11-10,113.77659013525215,-7.055264254680547,b'',
2022-11-11,113.77659013525215,-7.020542032458331,b'',
2022-11-11,113.77659013525215,-7.055264254680547,b'',
2022-11-12,113.77659013525215,-7.020542032458331,b'',
2022-11-12,113.77659013525215,-7.055264254680547,b'',
2022-11-13,113.77659013525215,-7.020542032458331,b'',
2022-11-13,113.77659013525215,-7.055264254680547,b'',
2022-11-14,113.77659013525215,-7.020542032458331,b'',
2022-11-14,113.77659013525215,-7.055264254680547,b'',
2022-11-15,113.77659013525215,-7.020542032458331,b'',
2022-11-15,113.77659013525215,-7.055264254680547,b'',
2022-11-16,113.77659013525215,-7.020542032458331,b'',
2022-11-16,113.77659013525215,-7.055264254680547,b'',
2022-11-17,113.77659013525215,-7.020542032458331,b'',
2022-11-17,113.77659013525215,-7.055264254680547,b'',
2022-11-18,113.77659013525215,-7.020542032458331,b'',
2022-11-18,113.77659013525215,-7.055264254680547,b'',
2022-11-19,113.77659013525215,-7.020542032458331,b'',
2022-11-19,113.77659013525215,-7.055264254680547,b'',
2022-11-20,113.77659013525215,-7.020542032458331,b'',
2022-11-20,113.77659013525215,-7.055264254680547,b'',
2022-11-21,113.77659013525215,-7.020542032458331,b'',
2022-11-21,113.77659013525215,-7.055264254680547,b'',
2022-11-22,113.77659013525215,-7.020542032458331,b'',
2022-11-22,113.77659013525215,-7.055264254680547,b'',
2022-11-23,113.77659013525215,-7.020542032458331,b'',
2022-11-23,113.77659013525215,-7.055264254680547,b'',
2022-11-24,113.77659013525215,-7.020542032458331,b'',
2022-11-24,113.77659013525215,-7.055264254680547,b'',
2022-11-25,113.77659013525215,-7.020542032458331,b'',
2022-11-25,113.77659013525215,-7.055264254680547,b'',
2022-11-26,113.77659013525215,-7.020542032458331,b'',
2022-11-26,113.77659013525215,-7.055264254680547,b'',
2022-11-27,113.77659013525215,-7.020542032458331,b'',
2022-11-27,113.77659013525215,-7.055264254680547,b'',
2022-11-28,113.77659013525215,-7.020542032458331,b'',
2022-11-28,113.77659013525215,-7.055264254680547,b'',
2022-11-29,113.77659013525215,-7.020542032458331,b'',
2022-11-29,113.77659013525215,-7.055264254680547,b'',
2022-11-30,113.77659013525215,-7.020542032458331,b'',
2022-11-30,113.77659013525215,-7.055264254680547,b'',
2022-12-01,113.77659013525215,-7.020542032458331,b'',
2022-12-01,113.77659013525215,-7.055264254680547,b'',
2022-12-02,113.77659013525215,-7.020542032458331,b'',
2022-12-02,113.77659013525215,-7.055264254680547,b'',
2022-12-03,113.77659013525215,-7.020542032458331,b'',
2022-12-03,113.77659013525215,-7.055264254680547,b'',
2022-12-04,113.77659013525215,-7.020542032458331,b'',
2022-12-04,113.77659013525215,-7.055264254680547,b'',
2022-12-05,113.77659013525215,-7.020542032458331,b'',
2022-12-05,113.77659013525215,-7.055264254680547,b'',
2022-12-06,113.77659013525215,-7.020542032458331,b'',2.2519003e-05
2022-12-06,113.77659013525215,-7.055264254680547,b'',
2022-12-07,113.77659013525215,-7.020542032458331,b'',
2022-12-07,113.77659013525215,-7.055264254680547,b'',
2022-12-08,113.77659013525215,-7.020542032458331,b'',9.518908e-06
2022-12-08,113.77659013525215,-7.055264254680547,b'',9.518908e-06
2022-12-09,113.77659013525215,-7.020542032458331,b'',1.2791642e-07
2022-12-09,113.77659013525215,-7.055264254680547,b'',1.2791642e-07
2022-12-10,113.77659013525215,-7.020542032458331,b'',-4.857974e-08
2022-12-10,113.77659013525215,-7.055264254680547,b'',1.3365611e-05
2022-12-11,113.77659013525215,-7.020542032458331,b'',
2022-12-11,113.77659013525215,-7.055264254680547,b'',1.6820879e-05
2022-12-12,113.77659013525215,-7.020542032458331,b'',3.5512705e-05
2022-12-12,113.77659013525215,-7.055264254680547,b'',3.5512705e-05
2022-12-13,113.77659013525215,-7.020542032458331,b'',
2022-12-13,113.77659013525215,-7.055264254680547,b'',
2022-12-14,113.77659013525215,-7.020542032458331,b'',
2022-12-14,113.77659013525215,-7.055264254680547,b'',
2022-12-15,113.77659013525215,-7.020542032458331,b'',
2022-12-15,113.77659013525215,-7.055264254680547,b'',
